dataset,encoder,split,color_mode,approach,lora,n_pairs,mAP,R@1,R@3,R@5,R@10,seasonal_drift@5
dynamic_earthnet,clip_vitl14,test,ndvi,naive,False,110,0.04261676548320076,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,clip_vitl14,test,ndvi,zero_shot,False,110,0.06421462092218708,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
dynamic_earthnet,clip_vitl14,test,nrg,naive,False,110,0.05240468256097405,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,clip_vitl14,test,nrg,zero_shot,False,110,0.1040574264221481,0.0,0.0,0.06666666666666667,0.20000000000000004,0.0
dynamic_earthnet,clip_vitl14,test,rgb,naive,False,110,0.0457692754381567,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,clip_vitl14,test,rgb,peft,False,110,0.03973934566250627,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,clip_vitl14,test,rgb,zero_shot,False,110,0.042620647970988475,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,clip_vitl14,train,ndvi,naive,False,605,0.023954061108073306,0.0,0.0,0.0,0.010526315789473684,0.0
dynamic_earthnet,clip_vitl14,train,ndvi,zero_shot,False,605,0.032185752851834726,0.0,0.0,0.0,0.039097744360902256,0.0
dynamic_earthnet,clip_vitl14,train,nrg,naive,False,605,0.024385876614689616,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,clip_vitl14,train,nrg,zero_shot,False,605,0.033447191406030426,0.0,0.0,0.0,0.014285714285714285,0.0
dynamic_earthnet,clip_vitl14,train,rgb,naive,False,605,0.03070097944911419,0.0,0.0,0.0,0.010526315789473684,0.0
dynamic_earthnet,clip_vitl14,train,rgb,peft,False,605,0.4199752937406694,0.039097744360902256,0.06766917293233082,0.16105263157894736,0.3630075187969925,0.0
dynamic_earthnet,clip_vitl14,train,rgb,zero_shot,False,605,0.042979842104300725,0.0,0.0,0.0,0.014285714285714285,0.0
dynamic_earthnet,clip_vitl14,val,ndvi,naive,False,110,0.030243507434569904,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,clip_vitl14,val,ndvi,zero_shot,False,110,0.04458202798733175,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,clip_vitl14,val,nrg,naive,False,110,0.03565169228107824,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,clip_vitl14,val,nrg,zero_shot,False,110,0.06617584319651185,0.0,0.0,0.0,0.06666666666666667,0.0
dynamic_earthnet,clip_vitl14,val,rgb,naive,False,110,0.052567730119848076,0.0,0.04,0.04,0.04,0.0
dynamic_earthnet,clip_vitl14,val,rgb,peft,False,110,0.04173886094381994,0.0,0.0,0.0,0.06666666666666667,0.0
dynamic_earthnet,clip_vitl14,val,rgb,zero_shot,False,110,0.05064117631537377,0.0,0.0,0.0,0.04,0.0
dynamic_earthnet,georsclip,test,ndvi,naive,False,110,0.06370213165136951,0.0,0.0,0.0,0.06666666666666667,0.0
dynamic_earthnet,georsclip,test,ndvi,zero_shot,False,110,0.21570301317274468,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0
dynamic_earthnet,georsclip,test,nrg,naive,False,110,0.15529605207050148,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0
dynamic_earthnet,georsclip,test,nrg,zero_shot,False,110,0.425792760697838,0.13333333333333333,0.3333333333333333,0.39999999999999997,0.4666666666666666,0.0
dynamic_earthnet,georsclip,test,nrg,zero_shot,True,110,0.15865835224811922,0.0,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.0
dynamic_earthnet,georsclip,test,rgb,naive,False,110,0.0606682942989335,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,georsclip,test,rgb,peft,False,110,0.04131516933450311,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,georsclip,test,rgb,zero_shot,False,110,0.299305830707008,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0
dynamic_earthnet,georsclip,train,ndvi,naive,False,605,0.022092481137090208,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,georsclip,train,ndvi,zero_shot,False,605,0.027541229233733772,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,georsclip,train,nrg,naive,False,605,0.02172426859371191,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,georsclip,train,nrg,zero_shot,False,605,0.025073241457969204,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,georsclip,train,nrg,zero_shot,True,605,0.02143624241496537,0.0,0.0,0.0,0.0,0.0
