dataset,encoder,split,color_mode,approach,lora,n_queries,n_pairs,mAP,rand_mAP,lift,perm_p,bh_fdr,ap_min,ap_max,leakage
dynamic_earthnet,clip_vitl14,test,ndvi,naive,False,3,110,0.0426,0.0827,0.52,0.982,0.9978,0.04,0.045,False
dynamic_earthnet,clip_vitl14,test,ndvi,zero_shot,False,3,110,0.0642,0.0835,0.77,0.6492,0.975,0.049,0.082,False
dynamic_earthnet,clip_vitl14,test,nrg,naive,False,3,110,0.0524,0.0829,0.63,0.8612,0.9978,0.038,0.061,False
dynamic_earthnet,clip_vitl14,test,nrg,zero_shot,False,3,110,0.1041,0.0826,1.26,0.216,0.468,0.033,0.159,False
dynamic_earthnet,clip_vitl14,test,rgb,naive,False,3,110,0.0458,0.0836,0.55,0.9545,0.9978,0.044,0.048,False
dynamic_earthnet,clip_vitl14,test,rgb,peft,False,3,110,0.0397,0.0828,0.48,0.9935,0.9978,0.037,0.042,False
dynamic_earthnet,clip_vitl14,test,rgb,zero_shot,False,3,110,0.0426,0.0821,0.52,0.9815,0.9978,0.04,0.045,False
dynamic_earthnet,clip_vitl14,train,ndvi,naive,False,5,605,0.024,0.028,0.85,0.6048,,0.007,0.05,False
dynamic_earthnet,clip_vitl14,train,ndvi,zero_shot,False,5,605,0.0322,0.0278,1.16,0.2107,,0.011,0.046,False
dynamic_earthnet,clip_vitl14,train,nrg,naive,False,5,605,0.0244,0.0279,0.87,0.5627,,0.006,0.038,False
dynamic_earthnet,clip_vitl14,train,nrg,zero_shot,False,5,605,0.0334,0.0279,1.2,0.1805,,0.011,0.047,False
dynamic_earthnet,clip_vitl14,train,rgb,naive,False,5,605,0.0307,0.0279,1.1,0.243,,0.006,0.072,False
dynamic_earthnet,clip_vitl14,train,rgb,peft,False,5,605,0.42,0.028,15.0,0.0,,0.058,0.754,True
dynamic_earthnet,clip_vitl14,train,rgb,zero_shot,False,5,605,0.043,0.0279,1.54,0.0615,,0.008,0.09,False
dynamic_earthnet,clip_vitl14,val,ndvi,naive,False,5,110,0.0302,0.0616,0.49,0.9297,0.9978,0.009,0.05,False
dynamic_earthnet,clip_vitl14,val,ndvi,zero_shot,False,5,110,0.0446,0.0609,0.73,0.6028,0.9557,0.01,0.077,False
dynamic_earthnet,clip_vitl14,val,nrg,naive,False,5,110,0.0357,0.0619,0.58,0.8,0.9978,0.01,0.066,False
dynamic_earthnet,clip_vitl14,val,nrg,zero_shot,False,5,110,0.0662,0.0621,1.07,0.3003,0.6027,0.03,0.087,False
dynamic_earthnet,clip_vitl14,val,rgb,naive,False,5,110,0.0526,0.0612,0.86,0.4377,0.7903,0.01,0.124,False
dynamic_earthnet,clip_vitl14,val,rgb,peft,False,5,110,0.0417,0.0618,0.68,0.6675,0.975,0.021,0.053,False
dynamic_earthnet,clip_vitl14,val,rgb,zero_shot,False,5,110,0.0506,0.062,0.82,0.4868,0.8327,0.026,0.077,False
dynamic_earthnet,georsclip,test,ndvi,naive,False,3,110,0.0637,0.0825,0.77,0.6502,0.975,0.052,0.074,False
dynamic_earthnet,georsclip,test,ndvi,zero_shot,False,3,110,0.2157,0.0835,2.58,0.0063,0.0171,0.069,0.289,False
